topic_key,title,short_title,start_phrase,stance_1,stance_2,stance_3,stance_4,stance_5,categories
voting-rights,Voting Rights and Electoral Integrity,Voting Rights,The federal government should,automatically register all eligible citizens to vote and allow online voting,expand early voting periods and make mail-in voting available to all voters without requiring an excuse,standardize voter ID requirements while ensuring free IDs are available to all eligible citizens,require photo ID for voting and regularly update voter rolls to remove inactive registrations,mandate in-person voting with strict photo ID and eliminate mail-in voting except for military overseas,"Governance, Democracy, and Institutional Reform"
deportation,Deportation of Immigrants,Deportation,The federal government should,stop all deportations and provide immediate citizenship pathways for all undocumented immigrants currently in the country,only deport immigrants who commit serious violent crimes while providing legal status to all others,prioritize deporting recent border crossers while allowing long-term residents to apply for legal status,deport all people without legal status but process cases in order of criminal history first,immediately deport all undocumented immigrants regardless of how long they have lived here or family ties,Foreign Policy and National Security;Public Safety and Law Enforcement
social-security,Social Security,Social Security,The federal government should,expand Social Security benefits significantly and remove the income cap on payroll taxes to fund it.,increase Social Security benefits modestly while raising taxes on higher earners to strengthen the program.,make small adjustments to both benefits and taxes to keep Social Security stable for future generations.,gradually raise the retirement age and reduce benefits for higher earners to save Social Security.,transition Social Security to private investment accounts that individuals control themselves.,Healthcare and Social Safety Nets;Economic Policy and Labor
ai-regulation,Artificial Intelligence Regulation,AI Regulation,The federal government should,allow AI companies to develop and deploy technology freely without government interference,provide light oversight of AI development while letting companies mostly self-regulate their systems,require basic safety testing before AI companies can release new systems to the public,closely monitor AI development and require government approval before releasing advanced AI systems,heavily regulate all AI development and ban AI systems that could pose any risk to society,"Technology, Data, and Innovation"
climate-change,Climate Change and Environmental Protection,Climate Change,The federal government should,declare a climate emergency and ban all activities that increase carbon emissions,rapidly transition to renewable energy and phase out fossil fuels by 2030,invest in clean energy while gradually reducing reliance on fossil fuels,let market forces drive any transition to cleaner energy sources,reject climate change policies and focus on economic growth instead,Environment and Climate Policy
civil-rights,Civil Rights and Social Justice,Civil Rights,The federal government should,mandate racial equity requirements in all institutions and provide reparations,strengthen civil rights enforcement and address systemic discrimination,maintain current civil rights laws while promoting equal opportunity,limit federal civil rights enforcement to clear cases of discrimination,eliminate affirmative action and all race-based government programs,Civil Rights and Social Policy
housing,Affordable Housing and Homelessness,Housing,The federal government should,guarantee housing as a human right and provide free homes to all who need them,build millions of affordable housing units and expand rental assistance programs,provide tax incentives for affordable housing while helping first-time buyers,reduce housing regulations and let private developers solve housing shortages,stay out of housing markets and eliminate all federal housing programs,Economic Policy and Labor
campaign-finance,Campaign Finance Reform,Campaign Finance,The federal government should,ban all private money in politics and publicly fund campaigns,strictly limit corporate donations and dark money groups,require full disclosure of all political donations,reduce restrictions on political donations and spending,eliminate all campaign finance laws and limits,"Governance, Democracy, and Institutional Reform"
immigration,Immigration Policy,Immigration,The federal government should,open borders completely and welcome all immigrants without restrictions,significantly increase legal immigration limits and create easy pathways to citizenship,maintain current immigration levels while streamlining the legal process,reduce legal immigration and prioritize high-skilled workers only,stop all immigration and focus on removing people here illegally,Foreign Policy and National Security;Civil Rights and Social Policy
misinformation,Misinformation and the Role of Algorithms in Democracy,Misinformation,The federal government should,require platforms to remove all false information and regulate algorithms,mandate fact-checking and transparency in how algorithms promote content,encourage voluntary standards for combating misinformation online,protect free speech online and prevent government censorship,ban any government involvement in content moderation decisions,"Technology, Data, and Innovation;Governance, Democracy, and Institutional Reform"
redistricting,State Redistricting and Gerrymandering,Redistricting,Congressional district maps should be drawn by,independent citizens' commissions with no elected officials involved at any level.,independent redistricting commissions with equal representation from both major parties.,bipartisan legislative committees with strict rules requiring supermajority approval.,state legislatures with court oversight to prevent extreme partisan bias.,the party that controls the state legislature without outside interference.,"Governance, Democracy, and Institutional Reform"
